score,factor,type,value,association,n
midas_result,working_hours_reduced,categorical,True,15.994233473980309,90
midas_result,children,numeric,,0.030765870798138736,151
midas_result,headache_days_per_month,numeric,,0.5484822402061114,316
midas_result,headache_days_severe_per_month,numeric,,0.5552098222992891,316
midas_result,days_medication,numeric,,0.38368629585103364,316
midas_result,intensity,numeric,,0.3025752277808287,316
midas_result,days_lost_work,numeric,,0.5353377732042617,316
midas_result,days_lost_household,numeric,,0.7664316700696834,316
midas_result,days_doctor,numeric,,0.4045263441142312,316
midas_result,days_ER,numeric,,0.07827309338192187,316
midas_result,days_hospital,numeric,,0.15059807876007691,316
gvas_result,gender,categorical,männlich,-2.7754068716094054,35
gvas_result,gender,categorical,weiblich,0.34569124735348566,281
gvas_result,birthyear,numeric,,0.01606896632264465,316
gvas_result,weight,numeric,,-0.1832946997128716,316
gvas_result,pregnant,categorical,nein,0.12768991610673908,277
gvas_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,3.3672585166935676,149
gvas_result,highest_degree,categorical,Fachhochschulreife,-6.226002109704638,48
gvas_result,highest_degree,categorical,Hauptschulabschluss,-3.483677548301131,19
gvas_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-1.4842091804117103,99
gvas_result,family_status,categorical,geschieden,-3.8896925858951192,35
gvas_result,family_status,categorical,ledig,-0.1533395080786235,123
gvas_result,family_status,categorical,verheiratet,2.280010194545916,149
gvas_result,current_employed,categorical,ja,2.6600086634259057,263
gvas_result,current_employed,categorical,nein,-13.199665631717217,53
gvas_result,working_hours_model,categorical,Teilzeit,-0.12777433902201807,129
gvas_result,working_hours_model,categorical,Vollzeit,0.12300663980477822,134
gvas_result,shiftwork,categorical,ja,-3.112726459405053,17
gvas_result,shiftwork,categorical,nein,0.21510711304831887,246
gvas_result,working_hours_reduced,categorical,False,2.4036070348381315,226
gvas_result,working_hours_reduced,categorical,True,-6.035724331926865,90
gvas_result,children,numeric,,0.021165932271002302,151
gvas_result,headache_days_per_month,numeric,,-0.37462292407950853,316
gvas_result,headache_days_severe_per_month,numeric,,-0.37041539933698453,316
gvas_result,days_medication,numeric,,-0.23029494461781416,316
gvas_result,intensity,numeric,,-0.25875089340708934,316
gvas_result,days_lost_work,numeric,,-0.2776959020563527,316
gvas_result,days_lost_household,numeric,,-0.39761670212907346,316
gvas_result,days_doctor,numeric,,-0.3399154608119064,316
gvas_result,days_ER,numeric,,-0.07393281016706235,316
gvas_result,days_hospital,numeric,,-0.13721620616497354,316
pgic_result,gender,categorical,männlich,0.1235985533453885,35
pgic_result,gender,categorical,weiblich,-0.015394837605297695,281
pgic_result,birthyear,numeric,,-0.04659687475291966,316
